Unnamed: 0,property_type,sector,society,price,price_per_sqft,built_up_area,bedRoom,bathroom,balcony,floorNum,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
72,flat,sector 65,emaar mgf emerald floors premier,2.55,15454.55,1650.0,3,3,3,3.0,Relatively New,1,1,0,0,0,1,21,"28.4030° N, 77.0690° E",28.403,77.069
73,flat,sector 82,vatika the seven lamps,0.94,6532.31,1299.0,2,2,3+,9.0,Relatively New,1,0,0,0,0,2,117,"28.3935° N, 76.9600° E",28.3935,76.96
75,flat,sector 81,signature global synera,0.49,6666.67,700.0,2,2,3,5.0,Relatively New,0,0,0,0,0,1,117,"28.3867° N, 76.9485° E",28.3867,76.9485
76,flat,sector 102,shapoorji pallonji joyville gurugram,0.95,10382.51,915.0,2,2,2,14.0,Relatively New,0,0,0,0,0,1,0,"28.4750° N, 76.9715° E",28.475,76.9715
77,flat,sector 102,emaar gurgaon greens,1.49,9030.3,1315.0,3,3,3,10.0,Relatively New,0,0,0,0,0,2,159,"28.4750° N, 76.9715° E",28.475,76.9715
78,flat,sector 82a,dlf the primus,2.25,10714.29,2333.0,3,3,3+,29.0,Relatively New,0,1,0,0,0,0,72,"28.3858° N, 76.9686° E",28.3858,76.9686
79,flat,sector 95,awho shanti vihar,0.82,9879.52,1095.0,2,2,3+,13.0,New Property,1,0,0,0,0,1,114,"28.4172° N, 76.9081° E",28.4172,76.9081
80,flat,sector 108,experion the heartsong,2.08,9904.76,2631.0,4,4,3+,3.0,Relatively New,0,1,0,0,0,1,126,"28.5134° N, 76.9830° E",28.5134,76.983
81,flat,sector 92,signature global city 92,0.78,11142.86,846.0,2,2,3,2.0,Under Construction,0,0,0,0,1,1,24,"28.4079° N, 76.9153° E",28.4079,76.9153
82,flat,sector 107,signature global solera,0.25,7861.64,318.0,1,1,0,0.0,Relatively New,0,0,0,0,0,1,55,"28.5052° N, 76.9729° E",28.5052,76.9729
83,flat,sector 112,experion windchants,3.75,13383.3,2225.56,3,3,2,21.0,Relatively New,0,1,0,0,0,2,159,"28.5189° N, 77.0183° E",28.5189,77.0183
84,flat,sector 104,godrej summit,0.85,5878.28,1269.0,2,2,3+,10.0,Relatively New,1,0,0,0,0,1,79,"28.4788° N, 76.9960° E",28.4788,76.996
85,flat,sector 51,citizen apartment,3.55,6825.61,5200.0,5,6,3+,11.0,Moderately Old,1,1,1,1,0,2,157,"28.4320° N, 77.0686° E",28.432,77.0686
86,flat,sector 76,whiteland  the aspen,3.5,11916.92,2937.0,3,4,3,8.0,Under Construction,0,0,0,0,0,1,0,"28.3935° N, 76.9888° E",28.3935,76.9888
