property_type,sector,price,built_up_area,bedRoom,bathroom,balcony,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,sector 81,4.5,3801.0,4,6,3+,Relatively New,0,1,0,0,0,2,Low,High Floor
house,sector 7,0.45,1000.0,3,2,0,Old Property,0,0,0,0,0,1,Low,Low Floor
house,sector 56,2.99,1449.0,4,4,2,Moderately Old,1,1,0,1,0,2,Low,Low Floor
house,dwarka expressway,0.85,600.0,1,5,3+,New Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 99,2.45,2516.0,3,4,3,New Property,0,1,0,0,0,2,High,Low Floor
flat,sector 92,0.75,1415.0,3,3,3,Relatively New,0,0,0,0,1,2,Low,Low Floor
house,sector 14,5.51,3249.0,3,3,2,Moderately Old,0,0,0,0,0,1,Low,Mid Floor
flat,sector 93,0.4,730.0,2,2,0,Relatively New,0,0,0,0,0,1,Low,
flat,sector 61,1.47,1278.0,2,2,2,New Property,1,0,0,1,0,1,Medium,Mid Floor
house,sector 8,1.6,558.0,4,6,1,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 106,0.88,1120.0,2,2,3+,Relatively New,0,0,0,0,0,1,Low,Mid Floor
house,sector 43,5.75,2430.0,4,4,2,Under Construction,0,1,1,0,0,0,High,Mid Floor
house,sector 47,1.15,275.0,3,3,3,Old Property,0,0,0,0,0,2,Low,Low Floor
house,sector 54,25.0,8036.0,4,4,3+,Moderately Old,1,1,1,1,0,1,Low,Low Floor
flat,sector 69,1.68,1819.0,4,4,2,Relatively New,0,0,0,1,0,1,Medium,Low Floor
flat,sector 72,1.9,1975.0,3,3,3,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 70a,2.75,2150.0,3,3,3+,Relatively New,0,0,0,0,0,1,Low,High Floor
flat,sector 107,0.6,750.0,3,2,2,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 33,1.25,1385.0,2,2,3,Under Construction,0,0,0,0,0,1,Medium,High Floor
flat,sohna road,0.28,743.0,2,2,1,Relatively New,0,0,0,0,0,1,Low,High Floor
flat,sohna road,0.38,750.0,2,2,2,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 95,0.96,1720.0,3,3,3,New Property,0,0,1,1,0,1,Low,Mid Floor
flat,sector 43,6.0,2556.0,4,4,3+,Old Property,0,1,0,0,0,2,High,High Floor
house,sector 2,5.0,4000.0,6,4,0,Moderately Old,0,0,0,0,0,1,Low,Mid Floor
